node_ox,node_red,n_electrons,std_red_potential,std_red_potential_pH7,references,species
,,int,V,V,,
N2O,N2,,,1.300,"Schoepp-Cothenet et al., 2013",
NO,N2O,,,1.200,"Schoepp-Cothenet et al., 2013",
ClO3,Cl-,,,1.000,"Schoepp-Cothenet et al., 2013",
O2,H2O,2,,0.816,"Wu et al., 2021;Schoepp-Cothenet et al., 2013;Dawson, 2021;Loach, 2018",
Fe3+,Fe2+,1,,0.771,"Kracke et al., 2015;Schoepp-Cothenet et al., 2013;Dawson, 2021;Loach, 2018",
NO3,N2,,,0.750,"Wu et al., 2021",
Mn4+,Mn2+,,,0.550,"Kracke et al., 2015",
SeO4,SeO3,,,0.450,,
P800-ox,P800-red,,,0.440,"Loach, 2018",
P700-ox,P700-red,,,0.430,"Loach, 2018",
NO3,NO2,2,,0.421,"Wu et al., 2021;Kracke et al., 2015;Schoepp-Cothenet et al., 2013;Dawson, 2021;Loach, 2018",
cytochrome f-ox,cytochrome f-red,1,,0.365,"Dawson, 2021;Loach, 2018",
ferricyanide-ox,ferricyanide-red,1,,0.360,"Dawson, 2021;Loach, 2018",
NO3,NH4,,,0.360,"Wu et al., 2021;Kracke et al., 2015",
"1,2-benzoquinone-ox","1,2-benzoquinone-red",2,,0.350,"Loach, 2018",
cytochrome a3-ox,cytochrome a3-red,1,,0.350,"Dawson, 2021",
cytochrome c550-ox,cytochrome c550-red,1,,0.338,"Loach, 2018",R. rubrum
cytochrome c5-ox,cytochrome c5-red,1,,0.320,"Loach, 2018",Azotobacter
As5+,As3+,2,,0.316,"Loach, 2018",
cytochrome c4-ox,cytochrome c4-red,,,0.300,"Loach, 2018",Azotobacter
cytochrome c552-ox,cytochrome c552-red,,,0.300,"Loach, 2018",Pseudomonas
O2,H2O2,2,,0.295,"Dawson, 2021;Loach, 2018",
cytochrome a-ox,cytochrome a-red,,,0.290,"Loach, 2018",
"1,4-benzoquinone-ox","1,4-benzoquinone-red",2,,0.280,"Loach, 2018",
cytochrome c-ox,cytochrome c-red,,,0.254,"Loach, 2018",
U6+,U4+,,,0.250,"Kracke et al., 2015",
cytochrome c1-ox,cytochrome c1-red,,,0.220,"Loach, 2018",
AsO4,AsO3,,,0.150,"Schoepp-Cothenet et al., 2013",
cytochrome c553-ox,cytochrome c553-red,,,0.120,"Loach, 2018",R. spheroides
caldariellaquinone,caldariellaquinol,,,0.100,"Schoepp-Cothenet et al., 2013",
cytochrome 552-ox,cytochrome 552-red,,,0.100,"Loach, 2018",Chromatium
plastoquinone,plastoquinol,,,0.100,"Schoepp-Cothenet et al., 2013",
cytochrome b-ox,cytochrome b-red,1,,0.077,"Loach, 2018",mitochondria
cytochrome bH-ox,cytochrome bH-red,1,,0.050,"Zumdahl et al., 2017",
ubiquinone,ubiquinol,2,,0.045,"Schoepp-Cothenet et al., 2013;Loach, 2018",
fumarate,succinate,2,,0.031,"Loach, 2018",
S4O3,S2O3,,,0.024,"Wu et al., 2021",
crotonyl-CoA,butyryl-CoA,2,,-0.015,"Buckel and Thauer, 2013;Loach, 2018",
ETF,ETFH2,2,,-0.023,"Buckel and Thauer, 2013",
rubredoxin-ox,rubredoxin-red,,,-0.057,"Loach, 2018",
APS,SO3,,,-0.060,"Wu et al., 2021",
menaquinone,menaquinol,,,-0.070,"Schoepp-Cothenet et al., 2013",
rhodoquinone,rhodoquinol,,,-0.070,"Schoepp-Cothenet et al., 2013",
cytochrome bL-ox,cytochrome bL-red,1,,-0.100,"Zumdahl et al., 2017",
CoM-S-S-CoB,CoM-SH,2,,-0.140,"Buckel and Thauer, 2013",
hydroxypyruvate,glycerate,,,-0.158,"Loach, 2018",
metanophenazine-ox,metanophenazine-red,,,-0.165,"Schoepp-Cothenet et al., 2013",
oxaloacetate,malate,2,,-0.166,"Loach, 2018",
SO3,H2S,,,-0.170,"Wu et al., 2021",
pyruvate,lactate,2,,-0.185,"Loach, 2018",
acetaldehyde,ethanol,2,,-0.197,"Loach, 2018",
SO4,S2-,,,-0.200,"Wu et al., 2021",
cytochrome c3-ox,cytochrome c3-red,,,-0.205,"Loach, 2018",Desulforibro desulfuricans
SO4,H2S,,,-0.210,"Wu et al., 2021;Rosenberg et al., 2013;Schoepp-Cothenet et al., 2013",
FAD,FADH2,2,,-0.219,"Buckel and Thauer, 2013;Kracke et al., 2015;Dawson, 2021;Loach, 2018",
FMN,FMNH2,2,,-0.219,"Buckel and Thauer, 2013;Loach, 2018",
glutathione-ox,glutathione-red,2,,-0.230,"Dawson, 2021;Loach, 2018",
acetoacetyl CoA,B-OH-butyryl CoA,,,-0.238,"Loach, 2018",
CO2,CH4,,,-0.240,"Wu et al., 2021;Rosenberg et al., 2013;Schoepp-Cothenet et al., 2013",
S0,S2-,,,-0.240,"Wu et al., 2021",
S0,H2S,2,,-0.243,"Loach, 2018",
CO2,acetate,,,-0.280,"Wu et al., 2021;Rosenberg et al., 2013",
acetone,isopropanol,,,-0.281,"Loach, 2018",
lipoic acid,dihydrolipoic acid,2,,-0.290,"Loach, 2018",
N2,NH4,,,-0.300,,
NAD+,NADH,2,,-0.320,"Buckel and Thauer, 2013;Kracke et al., 2015;Schoepp-Cothenet et al., 2013;Loach, 2018",
NADP+,NADPH,2,,-0.324,"Buckel and Thauer, 2013;Kracke et al., 2015;Schoepp-Cothenet et al., 2013;Loach, 2018",
cystine,cysteine,,,-0.340,"Loach, 2018",
acetoacetate,beta-hydroxybutyrate,2,,-0.346,"Loach, 2018",
F420-ox,F420-red,,,-0.360,"Schoepp-Cothenet et al., 2013",
alpha-ketoglutarate,isocitrate,2,,-0.380,"Loach, 2018",
CO2,organic carbon,,,-0.400,,
ferredoxin-ox,ferredoxin-red,2,,-0.400,"Buckel and Thauer, 2013;Kracke et al., 2015",
ferredoxin-ox,ferredoxin-red,2,,-0.413,"Loach, 2018",Clostridium
H+,H2,2,,-0.414,"Wu et al., 2021;Buckel and Thauer, 2013;Kracke et al., 2015",
CO2,formate,2,,-0.420,"Buckel and Thauer, 2013;Loach, 2018",
flavodoxin-ox,flavodoxin-red,2,,-0.420,"Buckel and Thauer, 2013",
gluconate,glucose,,,-0.440,"Loach, 2018",
SO4,SO3,,,-0.454,"Wu et al., 2021;Loach, 2018",
CO2,methanofuran,2,,-0.500,"Buckel and Thauer, 2013",
CO2,pyruvate,2,,-0.500,"Buckel and Thauer, 2013",
oxalate,glyoxalate,,,-0.500,"Loach, 2018",
CO2,CO,2,-0.120,-0.520,"Buckel and Thauer, 2013;Loach, 2018",
acetate,acetaldehyde,,,-0.581,"Loach, 2018",
succinate,alpha-ketoglutarate,2,,-0.670,"Zumdahl et al., 2017",
NO2;NH4,N2,,,,"Schoepp-Cothenet et al., 2013",
